Dataset,Budget_%,Budget_Value,avg_BV,avg_req_cvg,avg_test_cvg,avg_pareto_size,std_BV,std_req_cvg,std_test_cvg,std_pareto_size
FullSize_80-248,5,34.9655,1131.1666666666667,24.838709677419352,25.583333333333332,100.0,13.88784440517038,0.9171355972705364,0.8374896350934075,0.0
FullSize_80-248,10,69.931,1739.7666666666667,38.655913978494624,41.458333333333336,99.16666666666667,4.977839781359871,0.5482816681282556,0.7960405489392833,4.487637339278754
FullSize_80-248,15,104.89649999999999,2178.3333333333335,50.389784946236546,54.5,97.2,5.545769158156112,0.545804852264703,0.6922186552431729,9.870494752881777
FullSize_80-248,20,139.862,2507.6666666666665,61.35752688172043,67.66666666666667,98.33333333333333,8.584223254837266,0.4892546968602491,0.5335936864527373,7.625978989976012
FullSize_80-248,25,174.8275,2765.5,70.47043010752688,78.75,96.9,4.356986726320535,0.24820141549219776,0.0,16.69401090211697
FullSize_80-248,30,209.79299999999998,2899.8,77.4193548387097,88.75,100.0,0.7483314773547883,1.4210854715202004e-14,0.0,0.0
FullSize_80-248,35,244.75849999999997,2953.4666666666667,76.81451612903226,85.45833333333333,100.0,5.277204647243546,0.528313010941764,0.6023680122833732,0.0
FullSize_80-248,40,279.724,3026.5666666666666,80.6317204301075,91.25,100.0,2.3335714164249515,0.07238124740772231,0.0,0.0
FullSize_80-248,45,314.6895,3124.766666666667,81.84139784946237,91.25,93.73333333333333,0.8825468196582485,0.07238124740772234,0.0,23.48323278899696
FullSize_80-248,50,349.655,3154.0333333333333,80.63172043010749,88.41666666666667,94.16666666666667,8.765399147912332,1.1475220504565338,1.736055554666638,18.8327433535909
FullSize_80-248,55,384.6205,3235.6666666666665,84.27419354838713,93.41666666666667,100.0,1.813529401164726,2.842170943040401e-14,0.8498365855987974,0.0
FullSize_80-248,60,419.58599999999996,3281.6,85.43010752688173,94.66666666666667,98.93333333333334,4.127953488110059,0.13707041703206505,0.8498365855987974,3.9911012125588705
FullSize_80-248,65,454.5515,3370.0,87.5,95.0,100.0,0.0,0.0,0.0,0.0
FullSize_80-248,70,489.51699999999994,3425.0,89.11290322580642,96.25,100.0,0.0,2.842170943040401e-14,0.0,0.0
FullSize_80-248,75,524.4825,3448.6666666666665,89.07258064516127,96.16666666666667,98.8,23.942059690474043,0.2171437422231645,0.31180478223116187,4.942334131426838
FullSize_80-248,80,559.448,3505.4666666666667,90.94086021505373,96.91666666666667,99.33333333333333,30.43214674576139,0.20116437563300898,0.6236095644623234,3.590109871423003
FullSize_80-248,85,594.4134999999999,3592.6666666666665,92.52688172043007,96.95833333333333,91.5,40.053575232292175,0.784190975581441,1.193879065157867,25.82731112601542
FullSize_80-248,90,629.379,3615.733333333333,92.52688172043005,96.70833333333333,100.0,11.613019513555562,0.8246162177515033,1.895260902590693,0.0
FullSize_80-248,95,664.3444999999999,3718.133333333333,95.99462365591398,98.75,100.0,21.95105666907379,0.10058218781650448,0.0,0.0
